name_original,name,songer_code,circuit_original,circuit,id,pres,appres,yearl,yearb,yeard,pleft,left,party,district,state,city,gender,race,amon,ayear,crossl,crossa,___l,___j,___char,elevate,pred,dcother,recess,appt,temp,trans,assets,liable,aba,abamin,dsenate,rsenate,dhouse,rhouse,fhouse,fsenate,drhouse,drsenate,whouse,wsenate,nrhouse,nrsenate,dsens,rsens,dummy,tperm,fsens,drsens,wsens,nrsens,osens,yeari,yearc,congress,unity,e1,e2,e3,e4,e5,e6,congresi,unityi,hdem,hrep,sdem,srep,hother,sother,yearo,e7,e8,congreso,unityo,cityb,religion,badeg,bastate,bastatus,jddeg,jdstate,jdstatus,grad1,grad2,networth,agego,service,ageon,csb,ba,bast,bapp,ls,lsst,jdpp,graddeg1,graddeg2,pssc,pslc,plocct,psjdget,pausa,pusa,psgo,psg,pago,pag,pcc,psp,pmag,pbank,pterr,pcab,pasatty,psatty,pcabdept,pscab,pscabdpt,paag,pindreg1,preg1,preg2,preg3,phouse,psenate,pgov,statecab,state2,pssenate,pshouse,pmayor,pccoun,pccom,pada,pda,plother,plotherl,plawprof,pprivate,recdate
"Abruzzo, Matthew J.","Abruzzo, Matthew J.",10201,2,Second,2,F. Roosevelt,Democrat,1966,1889,1971,L.B. Johnson,Retired,Democrat,Eastern,New York,"Brooklyn, NY",Male,White,February,1936,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,69,25,322,103,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1936,1966,89TH,0,295,140,68,32,,,74TH,Unified,322,103,69,25,0,2,1966,,,89TH,0,3220,4,0,2,2,10,0,1,,,,77,30,47,"Brooklyn, NY",0,2,2,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,1,
"Acheson, Marcus Wilson","Acheson, Marcus Wilson",,3,Third,4,Hayes,Republican,1891,1828,1906,B. Harrison,Elevated,Republican,Western,Pennsylvania,"Pittsburgh, PA",Male,White,January,1880,0,Same Party,,,,,6544,,Not Recess Appt.,0,0,0,,,Not Rated,,43,33,150,128,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1880,1890,51ST,0,156,173,37,47,1,,46TH,"Divided, Both",150,128,43,33,14,0,1890,,,51ST,0,3891,7,124,1,1,125,3,3,,,,63,11,52,"Washington, PA",124,1,1,125,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Acker, William Marsh, Jr.","Acker, William Marsh, Jr.",11101,11,Eleventh,10,Reagan,Republican,1996,1927,9999,Clinton,Retired,Republican,Northern,Alabama,"Birmingham, AL",Male,White,August,1982,1,Same Party,,,,,8810,,Not Recess Appt.,0,0,0,1075000,,Qualified,,46,53,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1982,1996,104TH,1,203,231,48,52,1,,97TH,"Divided, House",243,192,47,53,0,0,1996,,,104TH,1,110,10,156,0,1,99,1,1,,,1075000,69,14,55,"Birmingham, AL",156,0,1,99,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Ackerman, Harold Arnold","Ackerman, Harold Arnold",10301,3,Third,15,Carter,Democrat,1994,1928,9999,Clinton,Retired,Democrat,Entire State,New Jersey,"Trenton, NJ",Male,White,October,1979,0,Same Party,,,,,435,,Not Recess Appt.,0,0,0,190737,,Well-Qual.,,58,41,277,158,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1979,1994,103RD,0,258,176,57,43,1,,96TH,Unified,277,158,59,41,0,0,1994,,,103RD,0,3060,5,0,2,2,72,0,0,,,190737,66,15,51,"Newark, NJ",0,2,2,72,0,0,,,,1,,24,,,,,,,,,,,,,,,,,,,,,,,9,,,66,121,,,,,,,,,,,1,
"Ackerman, James Waldo","Ackerman, James Waldo",10701,7,Seventh,20,Ford,Republican,1984,1926,1984,Reagan,Died,Republican,Southern,Illinois,"Springfield, IL",Male,White,July,1976,0,Same Party,,,,,21000,,Not Recess Appt.,0,0,1,0,,Well-Qual.,,61,37,291,144,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1976,1984,98TH,2,269,166,46,54,,,94TH,"Divided, Both",291,144,61,38,0,0,1984,,,98TH,2,940,24,51,1,1,51,1,1,,,0,58,8,50,"Jacksonville, FL",51,1,1,51,1,1,,,,1,0,5,,,,,,,,,,,,,1,1,,,,,,,,,,,,35,,,,,,,,,1,3,,1,
"Acosta, Raymond L.","Acosta, Raymond L.",10101,1,First,25,Reagan,Republican,1994,1925,9999,Clinton,Retired,Republican,Entire State,Puerto Rico,Puerto Rico,Male,Hispanic,September,1982,1,Same Party,,,,,17020,,Not Recess Appt.,0,0,0,288000,,Qualified,,46,53,243,192,0,0,0,0,0,0,0,0,,,1,,,,,,,1982,1994,103RD,0,258,176,57,43,1,,97TH,"Divided, House",243,192,47,53,0,0,1994,,,103RD,0,3260,4,111,1,1,72,1,0,,,288000,69,12,57,"New York, NY",111,1,1,72,1,0,,,,,,,1,1,,,,,,,,,,,,,,,,,1,43,,,,,,,,,,,,,,,,,,1,
"Adair, Jefferson LeRoy","Adair, Jefferson LeRoy",10702,7,Seventh,30,F. Roosevelt,Democrat,1956,1887,1956,Eisenhower,Died,Democrat,Southern,Illinois,"Quincy, IL",Male,White,April,1937,1,Same Party,,,,,8130,,Not Recess Appt.,0,0,0,0,,Not Rated,,75,17,333,89,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1937,1956,84TH,1,232,203,48,47,,1,75TH,Unified,333,89,75,17,13,4,1956,,,84TH,1,5383,9,183,0,1,54,1,0,,,0,69,19,50,"Clayton, IL",183,0,1,54,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,,,1,
"Adams, George Bethune","Adams, George Bethune",,2,Second,50,McKinley,Republican,1911,1845,1911,Taft,Died,Republican,Southern,New York,"New York, NY",Male,White,August,1901,0,Same Party,,,,,1080,,Conf. Recess Appt.,0,0,0,,,Not Rated,,29,56,153,198,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1901,1911,62ND,2,228,162,42,49,1,,57TH,Unified,153,198,29,56,5,3,1911,,,62ND,2,3860,2,0,2,2,108,3,3,,,,66,10,56,"Philadelphia, PA",0,2,2,108,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/3/1901
"Adams, John R.","Adams, John R.",,6,Sixth,30323,"Bush, 43",Republican,9999,1955,9999,Active Ser.,Active Service,Republican,Northern,Ohio,,Male,White,February,2003,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8044,7996,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, Elmer Bragg","Adams, Elmer Bragg",,8,Eighth,40,Cleveland (2),Democrat,1905,1842,1916,T. Roosevelt,Elevated,Democrat,Eastern,Missouri,"St. Louis, MO",Male,White,May,1895,1,Same Party,,,,,11927,,Conf. Recess Appt.,0,0,0,,,Not Rated,,39,44,104,246,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1895,1905,59TH,0,136,250,32,58,,,54TH,"Divided, Both",104,246,39,44,7,5,1905,,,59TH,0,4555,7,99,1,1,39,1,1,,,,63,10,53,"Pomfret, VT",99,1,1,39,1,1,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5/17/1895
