Name,Circuit,ID,Appointing President,Appointing President Party,Year of Departure,Year of Birth,Year of Death,President when Departed,Reason for Departing,Judge Party,District,State,City,Gender,Race,Year of Appointment,Cross Appointment,Recess Appointment,Assets,ABA Rating,Congress,Unity,House Democrats,House Republicans,Senate Democrats,Senate Republicans,House Independents,Senate Independents,Net Worth,Previous Position - ssc,Previous Position - slc,Previous Position - locct,Previous Position - sjdget,Previous Position - ausa,Previous Position - usa,Previous Position - sgo,Previous Position - sg,Previous Position - ago,Previous Position - ag,Previous Position - cc,Previous Position - sp,Previous Position - mag,Previous Position - bank,Previous Position - terr,Previous Position - cab,Previous Position - asatty,Previous Position - satty,Previous Position - cabdept,Previous Position - scab,Previous Position - scabdpt,Previous Position - aag,Previous Position - indreg1,Previous Position - reg1,Previous Position - reg2,Previous Position - reg3,Previous Position - house,Previous Position - senate,Previous Position - gov,Previous Position - ssenate,Previous Position - shouse,Previous Position - mayor,Previous Position - ccoun,Previous Position - ccom,Previous Position - ada,Previous Position - da,Previous Position - lother,Previous Position - lotherl,Previous Position - lawprof,Previous Position - private,Ideology Score
"Abruzzo, Matthew J.",2,2,F. Roosevelt,Democrat,1966,1889.0,1971.0,L.B. Johnson,Retired,Democrat,Eastern,New York,"Brooklyn, NY",Male,White,1936,Same Party,Not Recess Appt.,,Not Rated,89TH,Unified,322,103,69,25,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Acheson, Marcus Wilson",3,4,Hayes,Republican,1891,1828.0,1906.0,B. Harrison,Elevated,Republican,Western,Pennsylvania,"Pittsburgh, PA",Male,White,1880,Same Party,Not Recess Appt.,,Not Rated,51ST,"Divided, Both",150,128,43,33,14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Acker, William Marsh, Jr.",11,10,Reagan,Republican,1996,1927.0,9999.0,Clinton,Retired,Republican,Northern,Alabama,"Birmingham, AL",Male,White,1982,Same Party,Not Recess Appt.,1075000.0,Qualified,104TH,"Divided, House",243,192,47,53,0,0,1075000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40700000524520874
"Ackerman, Harold Arnold",3,15,Carter,Democrat,1994,1928.0,9999.0,Clinton,Retired,Democrat,Entire State,New Jersey,"Trenton, NJ",Male,White,1979,Same Party,Not Recess Appt.,190737.0,Well-Qual.,103RD,Unified,277,158,59,41,0,0,190737.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3059999942779541
"Ackerman, James Waldo",7,20,Ford,Republican,1984,1926.0,1984.0,Reagan,Died,Republican,Southern,Illinois,"Springfield, IL",Male,White,1976,Same Party,Not Recess Appt.,,Well-Qual.,98TH,"Divided, Both",291,144,61,38,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.061000000685453415
"Acosta, Raymond L.",1,25,Reagan,Republican,1994,1925.0,9999.0,Clinton,Retired,Republican,Entire State,Puerto Rico,Puerto Rico,Male,Hispanic,1982,Same Party,Not Recess Appt.,288000.0,Qualified,103RD,"Divided, House",243,192,47,53,0,0,288000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5379999876022339
"Adair, Jefferson LeRoy",7,30,F. Roosevelt,Democrat,1956,1887.0,1956.0,Eisenhower,Died,Democrat,Southern,Illinois,"Quincy, IL",Male,White,1937,Same Party,Not Recess Appt.,,Not Rated,84TH,Unified,333,89,75,17,13,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,
"Adams, George Bethune",2,50,McKinley,Republican,1911,1845.0,1911.0,Taft,Died,Republican,Southern,New York,"New York, NY",Male,White,1901,Same Party,Conf. Recess Appt.,,Not Rated,62ND,Unified,153,198,29,56,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Adams, John R.",6,30323,"Bush, 43",Republican,9999,1955.0,9999.0,Active Ser.,Active Service,Republican,Northern,Ohio,,Male,White,2003,Same Party,Not Recess Appt.,,,,Unified,205,228,48,51,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16850000619888306
"Adams, Elmer Bragg",8,40,Cleveland (2),Democrat,1905,1842.0,1916.0,T. Roosevelt,Elevated,Democrat,Eastern,Missouri,"St. Louis, MO",Male,White,1895,Same Party,Conf. Recess Appt.,,Not Rated,59TH,"Divided, Both",104,246,39,44,7,5,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Adams, Henry Lee",11,23230,Clinton,Democrat,9999,1945.0,9999.0,Active Ser.,Active Service,Democrat,Middle,Florida,"Jacksonville, FL",Male,African American,1993,Same Party,Not Recess Appt.,207571.0,Qualified,,Unified,258,176,57,43,1,0,207571.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.22599999606609344
"Adams, George",13,49,Jackson,Other,1838,1784.0,1844.0,Van Buren,Resigned,Democrat,No. & So.,Mississippi,"Jackson, MS",Male,White,1836,Not Two-Party,Not Recess Appt.,,Not Rated,25TH,Unified,145,98,27,25,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
"Adelman, Lynn S.",7,30074,Clinton,Democrat,9999,1939.0,9999.0,Active Ser.,Active Service,Democrat,Eastern,Wisconsin,"Waterford, WI",Male,White,1997,Same Party,Not Recess Appt.,2242000.0,Qualified,,"Divided, Both",207,227,45,55,1,0,2242000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,-0.3230000138282776
"Adkins, Jesse Corcoran",12,55,Hoover,Republican,1946,1879.0,1955.0,Truman,Retired,Republican,Entire State,D.C.,District of Columbia,Male,White,1930,Same Party,Not Recess Appt.,,Not Rated,79TH,Unified,163,267,39,56,1,1,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Adler, Simon Louis",2,60,Coolidge,Republican,1934,1867.0,1934.0,F. Roosevelt,Died,Republican,Western,New York,"Rochester, NY",Male,White,1927,Same Party,Conf. Recess Appt.,,Not Rated,73RD,Unified,195,237,47,48,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
"Africk, Lance M.",5,30229,"Bush, 43",Republican,9999,,9999.0,Active Ser.,Active Service,Republican,Eastern,Louisiana,,Male,White,2002,Same Party,Not Recess Appt.,,,,"Divided, Senate",212,221,50,50,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4860000014305115
"Aguilar, Robert P.",9,65,Carter,Democrat,1996,1931.0,9999.0,Clinton,Retired,Democrat,Northern,California,"San Francisco, CA",Male,Hispanic,1980,Same Party,Not Recess Appt.,94300.0,Qualified,104TH,Unified,277,158,59,41,0,0,94300.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.367000013589859
"Aiken, Ann L.",9,30073,Clinton,Democrat,9999,1951.0,9999.0,Active Ser.,Active Service,Democrat,Entire State,Oregon,"Eugene, OR",Female,White,1998,Same Party,Not Recess Appt.,564657.0,Qualified,,"Divided, Both",207,227,45,55,1,0,564657.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.27399998903274536
"Ainsworth, Robert A., Jr.",5,70,Kennedy,Democrat,1966,1910.0,1981.0,L.B. Johnson,Elevated,Democrat,Eastern,Louisiana,"New Orleans, LA",Male,White,1961,Same Party,Not Recess Appt.,,Well-Qual.,89TH,Unified,263,174,64,36,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.054999999701976776
